col_name,col_value
AS_ARRAY,1
HEX_DECODE_BINARY,1
LIKE_ALL,1
USAGE_TRACKING_IOEVENTS,FALSE
KURTOSIS,1
APPROXIMATE_SIMILARITY,1
BITAND,1
CONNECT_BY,1
BOOLOR,1
STRTOK_TO_ARRAY,1
DUR_GS_EXECUTING,FALSE
BOOLEAN_TO_TEXT,1
DATE_ADDQUARTERSTOTIMESTAMP,1
SYSTEM$IS_ACCOUNT_IN_CURRENT_ORG,1
%,1
WAREHOUSE_SIZE,8
XXX$XDIM_RSTR,1
SYSTEM$NULL_TO_TEXT,1
REGR_SXX,1
SPACE,1
LPAD,1
TIMESTAMPNTZFROMPARTS,1
XXX$XDIM_RSTR_V2,1
#ERROR!,1
TO_OBJECT,1
TO_DOUBLE,1
SYSTEM$WHITELIST_PRIVATELINK,1
DUR_XP_EXECUTING,TRUE
IS_REAL,1
NORMAL,1
SYSTEM$IS_MANAGED_READER_OF_CURRENT_ACCOUNT,1
TEXT_TO_TEXT,1
ILIKE_ANY,1
SYSTEM$NULL_TO_BOOLEAN,1
WAREHOUSE_SIZE,256
PARSE_URL,1
MINHASH,1
SYSTEM$SHOW_JOB,1
QUALIFY_CLAUSE,0
TRANSLATE,1
APPROX_PERCENTILE_ACCUMULATE,1
GET_BUILTIN_SCHEMAS,1
ATANH,1
COL_PART_ORDER_KEY,FALSE
FILTER_PUSHDOWN_FLATTEN,1
LASTDAYOFYEAR,1
SYSTEM$GET_PARAMETER_ID,1
NARY_UNION_ALL,1
COL_PRUNING,FALSE
WAREHOUSE_SIZE,64
TOTAL_DURATION,TRUE
DATE_DIFFTIMESTAMPINSECONDS,1
BOOLEAN_TO_ROWINDEX,1
IFF,1
NTILE,1
USAGE_TRACKING_VISITORS,TRUE
DATE_DIFFTIMESTAMPINMONTHS,1
VARIANCE_SAMP,1
RUNTIME_PRUNING_MULTIPLE_BLOOM_FILTERS,0
APPROX_PERCENTILE_COMBINE,1
WEEKISO,1
ARRAY_SIZE,1
USAGE_TRACKING_COMPILE,FALSE
QUALIFY_CLAUSE,1
TO_CHAR,1
ARRAY_INTERSECTION,1
SYSTEM$EXPLAIN_JSON_TO_TEXT,1
BIT_AND,1
